date,day,quarter,package,browser_rum_downloads
2022-09-18,2022-09-18,2022Q3,@datadog/browser-rum,19814
2022-09-19,2022-09-19,2022Q3,@datadog/browser-rum,185530
2022-09-20,2022-09-20,2022Q3,@datadog/browser-rum,220449
2022-09-21,2022-09-21,2022Q3,@datadog/browser-rum,210413
2022-09-22,2022-09-22,2022Q3,@datadog/browser-rum,202619
2022-09-23,2022-09-23,2022Q3,@datadog/browser-rum,167060
2022-09-24,2022-09-24,2022Q3,@datadog/browser-rum,20135
2022-09-25,2022-09-25,2022Q3,@datadog/browser-rum,15917
2022-09-26,2022-09-26,2022Q3,@datadog/browser-rum,195916
2022-09-27,2022-09-27,2022Q3,@datadog/browser-rum,214373
2022-09-28,2022-09-28,2022Q3,@datadog/browser-rum,225223
2022-09-29,2022-09-29,2022Q3,@datadog/browser-rum,212715
2022-09-30,2022-09-30,2022Q3,@datadog/browser-rum,169168
2022-10-01,2022-10-01,2022Q4,@datadog/browser-rum,22230
2022-10-02,2022-10-02,2022Q4,@datadog/browser-rum,17652
2022-10-03,2022-10-03,2022Q4,@datadog/browser-rum,190289
2022-10-04,2022-10-04,2022Q4,@datadog/browser-rum,208597
2022-10-05,2022-10-05,2022Q4,@datadog/browser-rum,202274
2022-10-06,2022-10-06,2022Q4,@datadog/browser-rum,206948
2022-10-07,2022-10-07,2022Q4,@datadog/browser-rum,182334
2022-10-08,2022-10-08,2022Q4,@datadog/browser-rum,24210
2022-10-09,2022-10-09,2022Q4,@datadog/browser-rum,18364
2022-10-10,2022-10-10,2022Q4,@datadog/browser-rum,166198
2022-10-11,2022-10-11,2022Q4,@datadog/browser-rum,219654
2022-10-12,2022-10-12,2022Q4,@datadog/browser-rum,224951
2022-10-13,2022-10-13,2022Q4,@datadog/browser-rum,220817
2022-10-14,2022-10-14,2022Q4,@datadog/browser-rum,192035
2022-10-15,2022-10-15,2022Q4,@datadog/browser-rum,21377
2022-10-16,2022-10-16,2022Q4,@datadog/browser-rum,17862
2022-10-17,2022-10-17,2022Q4,@datadog/browser-rum,209573
2022-10-18,2022-10-18,2022Q4,@datadog/browser-rum,225006
2022-10-19,2022-10-19,2022Q4,@datadog/browser-rum,214559
2022-10-20,2022-10-20,2022Q4,@datadog/browser-rum,207671
2022-10-21,2022-10-21,2022Q4,@datadog/browser-rum,182004
2022-10-22,2022-10-22,2022Q4,@datadog/browser-rum,20418
2022-10-23,2022-10-23,2022Q4,@datadog/browser-rum,18610
2022-10-24,2022-10-24,2022Q4,@datadog/browser-rum,200929
2022-10-25,2022-10-25,2022Q4,@datadog/browser-rum,227130
2022-10-26,2022-10-26,2022Q4,@datadog/browser-rum,228146
2022-10-27,2022-10-27,2022Q4,@datadog/browser-rum,229117
2022-10-28,2022-10-28,2022Q4,@datadog/browser-rum,199497
2022-10-29,2022-10-29,2022Q4,@datadog/browser-rum,22167
2022-10-30,2022-10-30,2022Q4,@datadog/browser-rum,17320
2022-10-31,2022-10-31,2022Q4,@datadog/browser-rum,201259
2022-11-01,2022-11-01,2022Q4,@datadog/browser-rum,216078
2022-11-02,2022-11-02,2022Q4,@datadog/browser-rum,235718
2022-11-03,2022-11-03,2022Q4,@datadog/browser-rum,229460
2022-11-04,2022-11-04,2022Q4,@datadog/browser-rum,204767
2022-11-05,2022-11-05,2022Q4,@datadog/browser-rum,22655
2022-11-06,2022-11-06,2022Q4,@datadog/browser-rum,21766
2022-11-07,2022-11-07,2022Q4,@datadog/browser-rum,216145
2022-11-08,2022-11-08,2022Q4,@datadog/browser-rum,240558
2022-11-09,2022-11-09,2022Q4,@datadog/browser-rum,259178
2022-11-10,2022-11-10,2022Q4,@datadog/browser-rum,241860
2022-11-11,2022-11-11,2022Q4,@datadog/browser-rum,160680
2022-11-12,2022-11-12,2022Q4,@datadog/browser-rum,21849
2022-11-13,2022-11-13,2022Q4,@datadog/browser-rum,22742
2022-11-14,2022-11-14,2022Q4,@datadog/browser-rum,223358
2022-11-15,2022-11-15,2022Q4,@datadog/browser-rum,245012
2022-11-16,2022-11-16,2022Q4,@datadog/browser-rum,242882
2022-11-17,2022-11-17,2022Q4,@datadog/browser-rum,245216
2022-11-18,2022-11-18,2022Q4,@datadog/browser-rum,215944
2022-11-19,2022-11-19,2022Q4,@datadog/browser-rum,30276
2022-11-20,2022-11-20,2022Q4,@datadog/browser-rum,21262
2022-11-21,2022-11-21,2022Q4,@datadog/browser-rum,212702
2022-11-22,2022-11-22,2022Q4,@datadog/browser-rum,241267
2022-11-23,2022-11-23,2022Q4,@datadog/browser-rum,224536
2022-11-24,2022-11-24,2022Q4,@datadog/browser-rum,161702
2022-11-25,2022-11-25,2022Q4,@datadog/browser-rum,122857
2022-11-26,2022-11-26,2022Q4,@datadog/browser-rum,16582
2022-11-27,2022-11-27,2022Q4,@datadog/browser-rum,19012
2022-11-28,2022-11-28,2022Q4,@datadog/browser-rum,212147
2022-11-29,2022-11-29,2022Q4,@datadog/browser-rum,239317
2022-11-30,2022-11-30,2022Q4,@datadog/browser-rum,245645
2022-12-01,2022-12-01,2022Q4,@datadog/browser-rum,235339
2022-12-02,2022-12-02,2022Q4,@datadog/browser-rum,213212
2022-12-03,2022-12-03,2022Q4,@datadog/browser-rum,30542
2022-12-04,2022-12-04,2022Q4,@datadog/browser-rum,20877
2022-12-05,2022-12-05,2022Q4,@datadog/browser-rum,218291
2022-12-06,2022-12-06,2022Q4,@datadog/browser-rum,242580
2022-12-07,2022-12-07,2022Q4,@datadog/browser-rum,233227
2022-12-08,2022-12-08,2022Q4,@datadog/browser-rum,222874
2022-12-09,2022-12-09,2022Q4,@datadog/browser-rum,195563
2022-12-10,2022-12-10,2022Q4,@datadog/browser-rum,25796
2022-12-11,2022-12-11,2022Q4,@datadog/browser-rum,21334
2022-12-12,2022-12-12,2022Q4,@datadog/browser-rum,213562
2022-12-13,2022-12-13,2022Q4,@datadog/browser-rum,224593
2022-12-14,2022-12-14,2022Q4,@datadog/browser-rum,225452
2022-12-15,2022-12-15,2022Q4,@datadog/browser-rum,226881
2022-12-16,2022-12-16,2022Q4,@datadog/browser-rum,195551
2022-12-17,2022-12-17,2022Q4,@datadog/browser-rum,28700
2022-12-18,2022-12-18,2022Q4,@datadog/browser-rum,20198
2022-12-19,2022-12-19,2022Q4,@datadog/browser-rum,186297
2022-12-20,2022-12-20,2022Q4,@datadog/browser-rum,204608
2022-12-21,2022-12-21,2022Q4,@datadog/browser-rum,189314
2022-12-22,2022-12-22,2022Q4,@datadog/browser-rum,163537
2022-12-23,2022-12-23,2022Q4,@datadog/browser-rum,102015
2022-12-24,2022-12-24,2022Q4,@datadog/browser-rum,15805
2022-12-25,2022-12-25,2022Q4,@datadog/browser-rum,11880
2022-12-26,2022-12-26,2022Q4,@datadog/browser-rum,50000
2022-12-27,2022-12-27,2022Q4,@datadog/browser-rum,84085
2022-12-28,2022-12-28,2022Q4,@datadog/browser-rum,98914
2022-12-29,2022-12-29,2022Q4,@datadog/browser-rum,90162
2022-12-30,2022-12-30,2022Q4,@datadog/browser-rum,66166
2022-12-31,2022-12-31,2022Q4,@datadog/browser-rum,13231
2023-01-01,2023-01-01,2023Q1,@datadog/browser-rum,13070
2023-01-02,2023-01-02,2023Q1,@datadog/browser-rum,57303
2023-01-03,2023-01-03,2023Q1,@datadog/browser-rum,177778
2023-01-04,2023-01-04,2023Q1,@datadog/browser-rum,195338
2023-01-05,2023-01-05,2023Q1,@datadog/browser-rum,199655
2023-01-06,2023-01-06,2023Q1,@datadog/browser-rum,175256
2023-01-07,2023-01-07,2023Q1,@datadog/browser-rum,27010
2023-01-08,2023-01-08,2023Q1,@datadog/browser-rum,18797
2023-01-09,2023-01-09,2023Q1,@datadog/browser-rum,204456
2023-01-10,2023-01-10,2023Q1,@datadog/browser-rum,226066
2023-01-11,2023-01-11,2023Q1,@datadog/browser-rum,232979
2023-01-12,2023-01-12,2023Q1,@datadog/browser-rum,223012
2023-01-13,2023-01-13,2023Q1,@datadog/browser-rum,200435
2023-01-14,2023-01-14,2023Q1,@datadog/browser-rum,28439
2023-01-15,2023-01-15,2023Q1,@datadog/browser-rum,20082
2023-01-16,2023-01-16,2023Q1,@datadog/browser-rum,143931
2023-01-17,2023-01-17,2023Q1,@datadog/browser-rum,217744
2023-01-18,2023-01-18,2023Q1,@datadog/browser-rum,230943
2023-01-19,2023-01-19,2023Q1,@datadog/browser-rum,223293
2023-01-20,2023-01-20,2023Q1,@datadog/browser-rum,194113
2023-01-21,2023-01-21,2023Q1,@datadog/browser-rum,24488
2023-01-22,2023-01-22,2023Q1,@datadog/browser-rum,19643
2023-01-23,2023-01-23,2023Q1,@datadog/browser-rum,196606
2023-01-24,2023-01-24,2023Q1,@datadog/browser-rum,229916
2023-01-25,2023-01-25,2023Q1,@datadog/browser-rum,235518
2023-01-26,2023-01-26,2023Q1,@datadog/browser-rum,223205
2023-01-27,2023-01-27,2023Q1,@datadog/browser-rum,195176
2023-01-28,2023-01-28,2023Q1,@datadog/browser-rum,36414
2023-01-29,2023-01-29,2023Q1,@datadog/browser-rum,30745
2023-01-30,2023-01-30,2023Q1,@datadog/browser-rum,227647
2023-01-31,2023-01-31,2023Q1,@datadog/browser-rum,254319
2023-02-01,2023-02-01,2023Q1,@datadog/browser-rum,251201
2023-02-02,2023-02-02,2023Q1,@datadog/browser-rum,243422
2023-02-03,2023-02-03,2023Q1,@datadog/browser-rum,208161
2023-02-04,2023-02-04,2023Q1,@datadog/browser-rum,29768
2023-02-05,2023-02-05,2023Q1,@datadog/browser-rum,19805
2023-02-06,2023-02-06,2023Q1,@datadog/browser-rum,223637
2023-02-07,2023-02-07,2023Q1,@datadog/browser-rum,260815
2023-02-08,2023-02-08,2023Q1,@datadog/browser-rum,240519
2023-02-09,2023-02-09,2023Q1,@datadog/browser-rum,243224
2023-02-10,2023-02-10,2023Q1,@datadog/browser-rum,216017
2023-02-11,2023-02-11,2023Q1,@datadog/browser-rum,28222
2023-02-12,2023-02-12,2023Q1,@datadog/browser-rum,22525
2023-02-13,2023-02-13,2023Q1,@datadog/browser-rum,226110
2023-02-14,2023-02-14,2023Q1,@datadog/browser-rum,239175
2023-02-15,2023-02-15,2023Q1,@datadog/browser-rum,253130
2023-02-16,2023-02-16,2023Q1,@datadog/browser-rum,255248
2023-02-17,2023-02-17,2023Q1,@datadog/browser-rum,244586
2023-02-18,2023-02-18,2023Q1,@datadog/browser-rum,33173
2023-02-19,2023-02-19,2023Q1,@datadog/browser-rum,23072
2023-02-20,2023-02-20,2023Q1,@datadog/browser-rum,150538
2023-02-21,2023-02-21,2023Q1,@datadog/browser-rum,243986
2023-02-22,2023-02-22,2023Q1,@datadog/browser-rum,259737
2023-02-23,2023-02-23,2023Q1,@datadog/browser-rum,257286
2023-02-24,2023-02-24,2023Q1,@datadog/browser-rum,221276
2023-02-25,2023-02-25,2023Q1,@datadog/browser-rum,35465
2023-02-26,2023-02-26,2023Q1,@datadog/browser-rum,24404
2023-02-27,2023-02-27,2023Q1,@datadog/browser-rum,188831
2023-02-28,2023-02-28,2023Q1,@datadog/browser-rum,206147
2023-03-01,2023-03-01,2023Q1,@datadog/browser-rum,238111
2023-03-02,2023-03-02,2023Q1,@datadog/browser-rum,248109
2023-03-03,2023-03-03,2023Q1,@datadog/browser-rum,227368
2023-03-04,2023-03-04,2023Q1,@datadog/browser-rum,35218
2023-03-05,2023-03-05,2023Q1,@datadog/browser-rum,24859
2023-03-06,2023-03-06,2023Q1,@datadog/browser-rum,245052
2023-03-07,2023-03-07,2023Q1,@datadog/browser-rum,272357
2023-03-08,2023-03-08,2023Q1,@datadog/browser-rum,255522
2023-03-09,2023-03-09,2023Q1,@datadog/browser-rum,262543
2023-03-10,2023-03-10,2023Q1,@datadog/browser-rum,241242
2023-03-11,2023-03-11,2023Q1,@datadog/browser-rum,38027
2023-03-12,2023-03-12,2023Q1,@datadog/browser-rum,26943
2023-03-13,2023-03-13,2023Q1,@datadog/browser-rum,262102
2023-03-14,2023-03-14,2023Q1,@datadog/browser-rum,279774
2023-03-15,2023-03-15,2023Q1,@datadog/browser-rum,269439
2023-03-16,2023-03-16,2023Q1,@datadog/browser-rum,271589
2023-03-17,2023-03-17,2023Q1,@datadog/browser-rum,191977
2023-03-18,2023-03-18,2023Q1,@datadog/browser-rum,24839
2023-03-19,2023-03-19,2023Q1,@datadog/browser-rum,23825
2023-03-20,2023-03-20,2023Q1,@datadog/browser-rum,234409
2023-03-21,2023-03-21,2023Q1,@datadog/browser-rum,258680
2023-03-22,2023-03-22,2023Q1,@datadog/browser-rum,263607
2023-03-23,2023-03-23,2023Q1,@datadog/browser-rum,253938
2023-03-24,2023-03-24,2023Q1,@datadog/browser-rum,219841
2023-03-25,2023-03-25,2023Q1,@datadog/browser-rum,28715
2023-03-26,2023-03-26,2023Q1,@datadog/browser-rum,23280
2023-03-27,2023-03-27,2023Q1,@datadog/browser-rum,244690
2023-03-28,2023-03-28,2023Q1,@datadog/browser-rum,266026
2023-03-29,2023-03-29,2023Q1,@datadog/browser-rum,247161
2023-03-30,2023-03-30,2023Q1,@datadog/browser-rum,254847
2023-03-31,2023-03-31,2023Q1,@datadog/browser-rum,224764
2023-04-01,2023-04-01,2023Q2,@datadog/browser-rum,31217
2023-04-02,2023-04-02,2023Q2,@datadog/browser-rum,25222
2023-04-03,2023-04-03,2023Q2,@datadog/browser-rum,255787
2023-04-04,2023-04-04,2023Q2,@datadog/browser-rum,269875
2023-04-05,2023-04-05,2023Q2,@datadog/browser-rum,238256
2023-04-06,2023-04-06,2023Q2,@datadog/browser-rum,242532
2023-04-07,2023-04-07,2023Q2,@datadog/browser-rum,154567
2023-04-08,2023-04-08,2023Q2,@datadog/browser-rum,23720
2023-04-09,2023-04-09,2023Q2,@datadog/browser-rum,21176
2023-04-10,2023-04-10,2023Q2,@datadog/browser-rum,198737
2023-04-11,2023-04-11,2023Q2,@datadog/browser-rum,258723
2023-04-12,2023-04-12,2023Q2,@datadog/browser-rum,258321
2023-04-13,2023-04-13,2023Q2,@datadog/browser-rum,253959
2023-04-14,2023-04-14,2023Q2,@datadog/browser-rum,232476
2023-04-15,2023-04-15,2023Q2,@datadog/browser-rum,26994
2023-04-16,2023-04-16,2023Q2,@datadog/browser-rum,24521
2023-04-17,2023-04-17,2023Q2,@datadog/browser-rum,254406
2023-04-18,2023-04-18,2023Q2,@datadog/browser-rum,269326
2023-04-19,2023-04-19,2023Q2,@datadog/browser-rum,271194
2023-04-20,2023-04-20,2023Q2,@datadog/browser-rum,257755
2023-04-21,2023-04-21,2023Q2,@datadog/browser-rum,217329
2023-04-22,2023-04-22,2023Q2,@datadog/browser-rum,30799
2023-04-23,2023-04-23,2023Q2,@datadog/browser-rum,33521
2023-04-24,2023-04-24,2023Q2,@datadog/browser-rum,261652
2023-04-25,2023-04-25,2023Q2,@datadog/browser-rum,286088
2023-04-26,2023-04-26,2023Q2,@datadog/browser-rum,292173
2023-04-27,2023-04-27,2023Q2,@datadog/browser-rum,294702
2023-04-28,2023-04-28,2023Q2,@datadog/browser-rum,245218
2023-04-29,2023-04-29,2023Q2,@datadog/browser-rum,34123
2023-04-30,2023-04-30,2023Q2,@datadog/browser-rum,26951
2023-05-01,2023-05-01,2023Q2,@datadog/browser-rum,162408
2023-05-02,2023-05-02,2023Q2,@datadog/browser-rum,247519
2023-05-03,2023-05-03,2023Q2,@datadog/browser-rum,244360
2023-05-04,2023-05-04,2023Q2,@datadog/browser-rum,241637
2023-05-05,2023-05-05,2023Q2,@datadog/browser-rum,227938
2023-05-06,2023-05-06,2023Q2,@datadog/browser-rum,32295
2023-05-07,2023-05-07,2023Q2,@datadog/browser-rum,26859
2023-05-08,2023-05-08,2023Q2,@datadog/browser-rum,240963
2023-05-09,2023-05-09,2023Q2,@datadog/browser-rum,275036
2023-05-10,2023-05-10,2023Q2,@datadog/browser-rum,270120
2023-05-11,2023-05-11,2023Q2,@datadog/browser-rum,281897
2023-05-12,2023-05-12,2023Q2,@datadog/browser-rum,226585
2023-05-13,2023-05-13,2023Q2,@datadog/browser-rum,32660
2023-05-14,2023-05-14,2023Q2,@datadog/browser-rum,31114
2023-05-15,2023-05-15,2023Q2,@datadog/browser-rum,247481
2023-05-16,2023-05-16,2023Q2,@datadog/browser-rum,261896
2023-05-17,2023-05-17,2023Q2,@datadog/browser-rum,262692
2023-05-18,2023-05-18,2023Q2,@datadog/browser-rum,228360
2023-05-19,2023-05-19,2023Q2,@datadog/browser-rum,217119
2023-05-20,2023-05-20,2023Q2,@datadog/browser-rum,34616
2023-05-21,2023-05-21,2023Q2,@datadog/browser-rum,28383
2023-05-22,2023-05-22,2023Q2,@datadog/browser-rum,204338
2023-05-23,2023-05-23,2023Q2,@datadog/browser-rum,270154
2023-05-24,2023-05-24,2023Q2,@datadog/browser-rum,263849
2023-05-25,2023-05-25,2023Q2,@datadog/browser-rum,266572
2023-05-26,2023-05-26,2023Q2,@datadog/browser-rum,218948
2023-05-27,2023-05-27,2023Q2,@datadog/browser-rum,29724
2023-05-28,2023-05-28,2023Q2,@datadog/browser-rum,27096
2023-05-29,2023-05-29,2023Q2,@datadog/browser-rum,141151
2023-05-30,2023-05-30,2023Q2,@datadog/browser-rum,248284
2023-05-31,2023-05-31,2023Q2,@datadog/browser-rum,269744
2023-06-01,2023-06-01,2023Q2,@datadog/browser-rum,266802
2023-06-02,2023-06-02,2023Q2,@datadog/browser-rum,233718
2023-06-03,2023-06-03,2023Q2,@datadog/browser-rum,31842
2023-06-04,2023-06-04,2023Q2,@datadog/browser-rum,24773
2023-06-05,2023-06-05,2023Q2,@datadog/browser-rum,251425
2023-06-06,2023-06-06,2023Q2,@datadog/browser-rum,265167
2023-06-07,2023-06-07,2023Q2,@datadog/browser-rum,267451
2023-06-08,2023-06-08,2023Q2,@datadog/browser-rum,261536
2023-06-09,2023-06-09,2023Q2,@datadog/browser-rum,221300
2023-06-10,2023-06-10,2023Q2,@datadog/browser-rum,27152
2023-06-11,2023-06-11,2023Q2,@datadog/browser-rum,24670
2023-06-12,2023-06-12,2023Q2,@datadog/browser-rum,245000
2023-06-13,2023-06-13,2023Q2,@datadog/browser-rum,266805
2023-06-14,2023-06-14,2023Q2,@datadog/browser-rum,269961
2023-06-15,2023-06-15,2023Q2,@datadog/browser-rum,263714
2023-06-16,2023-06-16,2023Q2,@datadog/browser-rum,220669
2023-06-17,2023-06-17,2023Q2,@datadog/browser-rum,31151
2023-06-18,2023-06-18,2023Q2,@datadog/browser-rum,26915
2023-06-19,2023-06-19,2023Q2,@datadog/browser-rum,190588
2023-06-20,2023-06-20,2023Q2,@datadog/browser-rum,264979
2023-06-21,2023-06-21,2023Q2,@datadog/browser-rum,280336
2023-06-22,2023-06-22,2023Q2,@datadog/browser-rum,258949
2023-06-23,2023-06-23,2023Q2,@datadog/browser-rum,224474
2023-06-24,2023-06-24,2023Q2,@datadog/browser-rum,30361
2023-06-25,2023-06-25,2023Q2,@datadog/browser-rum,30512
2023-06-26,2023-06-26,2023Q2,@datadog/browser-rum,245534
2023-06-27,2023-06-27,2023Q2,@datadog/browser-rum,261515
2023-06-28,2023-06-28,2023Q2,@datadog/browser-rum,258089
2023-06-29,2023-06-29,2023Q2,@datadog/browser-rum,253172
2023-06-30,2023-06-30,2023Q2,@datadog/browser-rum,192100
2023-07-01,2023-07-01,2023Q3,@datadog/browser-rum,30938
2023-07-02,2023-07-02,2023Q3,@datadog/browser-rum,24055
2023-07-03,2023-07-03,2023Q3,@datadog/browser-rum,166019
2023-07-04,2023-07-04,2023Q3,@datadog/browser-rum,175494
2023-07-05,2023-07-05,2023Q3,@datadog/browser-rum,257281
2023-07-06,2023-07-06,2023Q3,@datadog/browser-rum,264079
2023-07-07,2023-07-07,2023Q3,@datadog/browser-rum,234770
2023-07-08,2023-07-08,2023Q3,@datadog/browser-rum,35258
2023-07-09,2023-07-09,2023Q3,@datadog/browser-rum,26130
2023-07-10,2023-07-10,2023Q3,@datadog/browser-rum,257263
2023-07-11,2023-07-11,2023Q3,@datadog/browser-rum,277531
2023-07-12,2023-07-12,2023Q3,@datadog/browser-rum,269770
2023-07-13,2023-07-13,2023Q3,@datadog/browser-rum,272330
2023-07-14,2023-07-14,2023Q3,@datadog/browser-rum,227819
2023-07-15,2023-07-15,2023Q3,@datadog/browser-rum,32734
2023-07-16,2023-07-16,2023Q3,@datadog/browser-rum,29597
2023-07-17,2023-07-17,2023Q3,@datadog/browser-rum,244368
2023-07-18,2023-07-18,2023Q3,@datadog/browser-rum,271103
2023-07-19,2023-07-19,2023Q3,@datadog/browser-rum,277631
2023-07-20,2023-07-20,2023Q3,@datadog/browser-rum,263590
2023-07-21,2023-07-21,2023Q3,@datadog/browser-rum,238396
2023-07-22,2023-07-22,2023Q3,@datadog/browser-rum,33518
2023-07-23,2023-07-23,2023Q3,@datadog/browser-rum,28091
2023-07-24,2023-07-24,2023Q3,@datadog/browser-rum,262981
2023-07-25,2023-07-25,2023Q3,@datadog/browser-rum,276358
2023-07-26,2023-07-26,2023Q3,@datadog/browser-rum,274167
2023-07-27,2023-07-27,2023Q3,@datadog/browser-rum,268718
2023-07-28,2023-07-28,2023Q3,@datadog/browser-rum,227158
2023-07-29,2023-07-29,2023Q3,@datadog/browser-rum,30158
2023-07-30,2023-07-30,2023Q3,@datadog/browser-rum,27053
2023-07-31,2023-07-31,2023Q3,@datadog/browser-rum,244696
2023-08-01,2023-08-01,2023Q3,@datadog/browser-rum,268449
2023-08-02,2023-08-02,2023Q3,@datadog/browser-rum,257708
2023-08-03,2023-08-03,2023Q3,@datadog/browser-rum,263206
2023-08-04,2023-08-04,2023Q3,@datadog/browser-rum,233120
2023-08-05,2023-08-05,2023Q3,@datadog/browser-rum,28966
2023-08-06,2023-08-06,2023Q3,@datadog/browser-rum,25817
2023-08-07,2023-08-07,2023Q3,@datadog/browser-rum,215918
2023-08-08,2023-08-08,2023Q3,@datadog/browser-rum,268904
2023-08-09,2023-08-09,2023Q3,@datadog/browser-rum,271401
2023-08-10,2023-08-10,2023Q3,@datadog/browser-rum,268784
2023-08-11,2023-08-11,2023Q3,@datadog/browser-rum,230476
2023-08-12,2023-08-12,2023Q3,@datadog/browser-rum,30697
2023-08-13,2023-08-13,2023Q3,@datadog/browser-rum,27245
2023-08-14,2023-08-14,2023Q3,@datadog/browser-rum,251348
2023-08-15,2023-08-15,2023Q3,@datadog/browser-rum,242100
2023-08-16,2023-08-16,2023Q3,@datadog/browser-rum,269611
2023-08-17,2023-08-17,2023Q3,@datadog/browser-rum,265177
2023-08-18,2023-08-18,2023Q3,@datadog/browser-rum,214732
2023-08-19,2023-08-19,2023Q3,@datadog/browser-rum,33012
2023-08-20,2023-08-20,2023Q3,@datadog/browser-rum,34910
2023-08-21,2023-08-21,2023Q3,@datadog/browser-rum,260010
2023-08-22,2023-08-22,2023Q3,@datadog/browser-rum,270024
2023-08-23,2023-08-23,2023Q3,@datadog/browser-rum,265080
2023-08-24,2023-08-24,2023Q3,@datadog/browser-rum,260224
2023-08-25,2023-08-25,2023Q3,@datadog/browser-rum,199490
2023-08-26,2023-08-26,2023Q3,@datadog/browser-rum,34460
2023-08-27,2023-08-27,2023Q3,@datadog/browser-rum,32473
2023-08-28,2023-08-28,2023Q3,@datadog/browser-rum,243870
2023-08-29,2023-08-29,2023Q3,@datadog/browser-rum,259846
2023-08-30,2023-08-30,2023Q3,@datadog/browser-rum,270506
2023-08-31,2023-08-31,2023Q3,@datadog/browser-rum,270153
2023-09-01,2023-09-01,2023Q3,@datadog/browser-rum,223439
2023-09-02,2023-09-02,2023Q3,@datadog/browser-rum,29804
2023-09-03,2023-09-03,2023Q3,@datadog/browser-rum,27425
2023-09-04,2023-09-04,2023Q3,@datadog/browser-rum,141337
2023-09-05,2023-09-05,2023Q3,@datadog/browser-rum,258600
2023-09-06,2023-09-06,2023Q3,@datadog/browser-rum,273645
2023-09-07,2023-09-07,2023Q3,@datadog/browser-rum,272051
2023-09-08,2023-09-08,2023Q3,@datadog/browser-rum,234367
2023-09-09,2023-09-09,2023Q3,@datadog/browser-rum,31150
2023-09-10,2023-09-10,2023Q3,@datadog/browser-rum,25061
2023-09-11,2023-09-11,2023Q3,@datadog/browser-rum,261502
2023-09-12,2023-09-12,2023Q3,@datadog/browser-rum,281847
2023-09-13,2023-09-13,2023Q3,@datadog/browser-rum,267327
2023-09-14,2023-09-14,2023Q3,@datadog/browser-rum,269764
2023-09-15,2023-09-15,2023Q3,@datadog/browser-rum,221548
2023-09-16,2023-09-16,2023Q3,@datadog/browser-rum,35902
2023-09-17,2023-09-17,2023Q3,@datadog/browser-rum,27819
2023-09-18,2023-09-18,2023Q3,@datadog/browser-rum,241613
2023-09-19,2023-09-19,2023Q3,@datadog/browser-rum,265069
2023-09-20,2023-09-20,2023Q3,@datadog/browser-rum,271280
2023-09-21,2023-09-21,2023Q3,@datadog/browser-rum,265976
2023-09-22,2023-09-22,2023Q3,@datadog/browser-rum,222718
2023-09-23,2023-09-23,2023Q3,@datadog/browser-rum,30501
2023-09-24,2023-09-24,2023Q3,@datadog/browser-rum,25902
2023-09-25,2023-09-25,2023Q3,@datadog/browser-rum,252024
2023-09-26,2023-09-26,2023Q3,@datadog/browser-rum,277094
2023-09-27,2023-09-27,2023Q3,@datadog/browser-rum,266849
2023-09-28,2023-09-28,2023Q3,@datadog/browser-rum,268612
2023-09-29,2023-09-29,2023Q3,@datadog/browser-rum,246900
2023-09-30,2023-09-30,2023Q3,@datadog/browser-rum,39718
2023-10-01,2023-10-01,2023Q4,@datadog/browser-rum,36857
2023-10-02,2023-10-02,2023Q4,@datadog/browser-rum,210927
2023-10-03,2023-10-03,2023Q4,@datadog/browser-rum,256678
2023-10-04,2023-10-04,2023Q4,@datadog/browser-rum,264786
2023-10-05,2023-10-05,2023Q4,@datadog/browser-rum,261058
2023-10-06,2023-10-06,2023Q4,@datadog/browser-rum,222314
2023-10-07,2023-10-07,2023Q4,@datadog/browser-rum,33237
2023-10-08,2023-10-08,2023Q4,@datadog/browser-rum,27018
2023-10-09,2023-10-09,2023Q4,@datadog/browser-rum,182721
2023-10-10,2023-10-10,2023Q4,@datadog/browser-rum,252267
2023-10-11,2023-10-11,2023Q4,@datadog/browser-rum,262527
2023-10-12,2023-10-12,2023Q4,@datadog/browser-rum,252936
2023-10-13,2023-10-13,2023Q4,@datadog/browser-rum,216822
2023-10-14,2023-10-14,2023Q4,@datadog/browser-rum,30880
2023-10-15,2023-10-15,2023Q4,@datadog/browser-rum,27882
2023-10-16,2023-10-16,2023Q4,@datadog/browser-rum,255707
2023-10-17,2023-10-17,2023Q4,@datadog/browser-rum,278819
2023-10-18,2023-10-18,2023Q4,@datadog/browser-rum,276591
2023-10-19,2023-10-19,2023Q4,@datadog/browser-rum,274062
2023-10-20,2023-10-20,2023Q4,@datadog/browser-rum,235108
2023-10-21,2023-10-21,2023Q4,@datadog/browser-rum,34978
2023-10-22,2023-10-22,2023Q4,@datadog/browser-rum,26576
2023-10-23,2023-10-23,2023Q4,@datadog/browser-rum,253195
2023-10-24,2023-10-24,2023Q4,@datadog/browser-rum,271640
2023-10-25,2023-10-25,2023Q4,@datadog/browser-rum,279367
2023-10-26,2023-10-26,2023Q4,@datadog/browser-rum,269243
2023-10-27,2023-10-27,2023Q4,@datadog/browser-rum,233818
2023-10-28,2023-10-28,2023Q4,@datadog/browser-rum,28298
2023-10-29,2023-10-29,2023Q4,@datadog/browser-rum,25779
2023-10-30,2023-10-30,2023Q4,@datadog/browser-rum,255468
2023-10-31,2023-10-31,2023Q4,@datadog/browser-rum,270753
2023-11-01,2023-11-01,2023Q4,@datadog/browser-rum,232832
2023-11-02,2023-11-02,2023Q4,@datadog/browser-rum,73874
